depth,thickness,c20concentration,c20n,c20d2h,c20sem,c20totalunc,c22concentration,c22n,c22d2h,c22sem,c22totalunc,c24concentration,c24n,c24d2h,c24sem,c24totalunc,c26concentration,c26n,c26d2h,c26sem,c26totalunc,c28concentration,c28n,c28d2h,c28sem,c28totalunc,c30concentration,c30n,c30d2h,c30sem,c30totalunc,epsilon28-22,epsilon28-22uncertainty,epsilon28-24,epsilon28-24uncertainty,epsilon28-26,epsilon28-26uncertainty,epsilon26-24,epsilon26-24uncertainty,epsilon24-22,epsilon24-22uncertainty,aclc22-30,cpi22-30,brgdgtconctle,brgdgtconcsed,mbt5me_russel,gdgt0,gdgt0conctle,c20relativeabundance,c22relativeabundance,c24relativeabundance,c26relativeabundance,c28relativeabundance,c30relativeabundance
40,1,2.977,3,-249.083,2.855,4.577,9.619,3,-241.544,2.641,4.204,35.376,3,-244.031,2.04,3.511,38.292,3,-239.634,2.075,3.507,27.924,3,-231.711,2.326,3.528,6.865,nan,nan,nan,nan,12.963,0.001,16.297,0.001,10.42,0.001,5.816,0,-3.28,0,25.78,5.317,31327.679,20665.65,4.111,401.412,0.401,2.459,7.946,29.223,31.632,23.068,5.671
45,1,3.042,3,-247.089,3.556,4.111,6.368,3,-241.802,2.311,3.779,21.507,3,-240.098,2.06,3.538,24.92,3,-236.131,2.028,3.499,20.37,3,-235.544,2.082,3.593,6.018,3,-226.205,4.335,3.786,8.254,0.001,5.993,0,0.768,5.83E-05,5.221,0,2.247,0,25.954,3.756,24982.683,16559.519,5.611,300.505,0.301,3.7,7.744,26.157,30.307,24.773,7.319
50,1,0.848,3,-257.939,2.539,4.102,3.156,3,-245.581,2.382,3.785,12.065,3,-240.576,2.046,3.526,14.373,3,-231.93,2.076,3.508,11.28,3,-231.482,2.11,3.569,2.741,3,-221.706,2.777,3.789,18.688,0.002,11.975,0.001,0.583,4.76E-05,11.385,0.001,6.633,0.001,25.926,5.421,22908.342,15182.449,4.019,590.899,0.591,1.908,7.099,27.134,32.325,25.37,6.164
55,1,2.729,3,-247.122,3.349,4.672,4.533,3,-237.781,2.929,4.108,13.554,3,-232.843,2.247,3.521,16.561,3,-231.014,2.111,3.509,13.898,3,-221.364,2.082,3.523,4.877,nan,nan,nan,nan,21.539,0.003,14.963,0.001,12.55,0.001,2.383,0,6.479,0.001,26.039,3.115,18122.04,12089.419,5.681,294.037,0.294,4.86,8.073,24.138,29.493,24.75,8.685
60,1,3.517,3,-247.516,2.381,3.866,6.718,3,-252.898,2.067,3.515,22.724,3,-252.446,2.046,3.492,26.611,3,-250.204,2.062,3.49,23.295,3,-249.122,2.205,3.744,8.776,3,-238.942,2.319,3.925,5.055,0,4.447,0,1.443,0,3,0,0.605,4.00E-05,26.106,3.642,9862.096,6565.976,7.54,585.113,0.585,3.838,7.331,24.796,29.038,25.42,9.577
65,1,2.924,3,-242.361,2.506,4.104,6.106,3,-246.431,2.242,3.784,21.378,3,-243.468,2.066,3.539,24.321,3,-234.878,2.113,3.51,18.674,3,-234.419,2.151,3.573,5.629,3,-223.209,2.503,3.851,15.941,0.001,11.961,0.001,0.6,4.96E-05,11.354,0.001,3.933,0,25.904,3.906,22248.007,14752.147,5.258,633.493,0.633,3.7,7.726,27.05,30.774,23.628,7.122
70,1,2.259,3,-243.396,2.603,4.012,8.188,3,-235.698,2.268,3.906,23.081,3,-232.346,2.033,3.516,29.562,3,-220.826,2.024,3.506,25.287,3,-220.426,2.058,3.563,7.774,3,-218.887,2.934,3.792,19.982,0.002,15.528,0.001,0.513,4.40E-05,15.007,0.001,4.386,0,26.029,5.637,30125.263,20081.232,5.185,1388.175,1.388,2.349,8.516,24.005,30.745,26.299,8.086
75,1,0.323,3,-253.647,3.22,5.04,1.061,3,-231.937,3.631,4.62,7.187,3,-231.887,2.163,3.546,12.797,2,-213.624,2.111,2.87,12.944,3,-204.354,2.091,3.517,3.792,nan,nan,nan,nan,35.914,0.006,35.845,0.003,11.789,0.001,23.776,0.002,0.066,1.09E-05,26.594,4.766,18392.485,12250.713,3.858,173.228,0.173,0.848,2.785,18.862,33.583,33.97,9.952
80,1,0.444,3,-248.5,3.312,4.173,1.361,3,-256,4.081,3.92,6.732,3,-250.03,2.15,3.543,9.049,3,-217.866,2.245,3.524,6.659,3,-217.558,2.244,3.524,1.87,3,-216.57,2.254,3.851,51.67,0.009,43.298,0.004,0.393,4.18E-05,42.888,0.004,8.024,0.001,26.074,6.861,18234.35,12154.937,4.692,688.645,0.689,1.701,5.21,25.779,34.65,25.5,7.16
85,1,1.65,3,-256.375,4.746,4.704,2.961,3,-250.746,2.494,4.082,8.761,3,-252.255,2.036,3.519,12.297,3,-222.231,2.031,3.5,11.166,3,-213.52,2.034,3.507,4.316,nan,nan,nan,3.673,49.684,0.005,51.803,0.004,11.201,0.001,40.153,0.003,-2.014,0,26.259,4.258,26388.123,21067.016,3.677,4485.771,4.486,4.01,7.195,21.29,29.882,27.135,10.488
90,1,1.199,3,-241.795,5.177,4.944,3.269,3,-246.066,3.264,4.239,11.283,3,-247.887,2.273,3.543,20.772,2,-219.666,2.029,2.869,21.168,3,-211.759,2.094,3.516,7.906,nan,nan,nan,3.575,45.504,0.006,48.036,0.004,10.133,0.001,37.522,0.003,-2.416,0,26.595,6.577,36906.008,24552.119,3.949,1718.166,1.718,1.827,4.983,17.2,31.667,32.27,12.053
90,1,2.469,3,-215.811,7.47,5.44,13.159,3,-217.499,2.599,4.291,39.258,3,-227.923,2.33,3.607,73.848,3,-222.361,2.186,3.521,72.762,3,-209.203,2.169,3.733,23.332,nan,nan,nan,nan,10.602,0.001,24.245,0.003,16.92,0.002,7.203,0.001,-13.321,0.002,26.484,13.877,23419.311,15574.975,4.918,2538.381,2.538,1.098,5.853,17.461,32.847,32.364,10.378
95,1,0.781,3,-231.758,2.839,4.098,1.945,3,-217.075,2.302,3.828,7.043,3,-226.813,2.277,3.54,8.739,3,-209.741,2.093,3.527,5.344,3,-209.454,2.093,3.527,1.415,3,-225.856,4.154,3.97,9.734,0.001,22.451,0.002,0.362,3.61E-05,22.081,0.002,-12.438,0.001,25.775,9.308,2134.096,1706.225,5.864,415.62,0.416,3.09,7.698,27.876,34.588,21.15,5.598
95,1,0.227,3,-260.243,3.511,5.329,0.725,3,-199.504,3.13,4.523,3.49,3,-206.577,2.271,3.73,4.14,3,-219.019,2.066,3.514,3.036,3,-218.794,2.108,3.625,0.895,nan,nan,nan,nan,-24.097,0.004,-15.398,0.002,0.287,2.61E-05,-15.681,0.002,-8.835,0.002,25.981,6.657,2184.612,1451.878,9.185,580.274,0.58,1.817,5.795,27.89,33.087,24.262,7.149
99,1,0.071,3,-316.178,4.887,6.131,0.429,3,-178.799,3.347,5.502,2.322,3,-198.916,2.22,3.653,3.756,3,-219.045,2.056,3.551,3.397,3,-220.459,2.236,3.613,1.043,nan,nan,nan,nan,-50.731,0.012,-26.893,0.003,-1.811,0,-25.127,0.003,-24.497,0.006,26.421,5.18,905.382,603.524,8.917,728.672,0.729,0.641,3.892,21.08,34.086,30.835,9.467
100,1,0.024,3,-243.89,5.34,5.94,0.551,3,-226.562,5.213,5.281,3.673,3,-225.051,3.687,3.638,7.22,3,-228.622,3.789,3.535,6.196,3,-226.825,2.308,3.624,1.715,nan,nan,nan,nan,-0.34,0,-2.29,0,2.329,0,-4.608,0.001,1.954,0.001,26.501,5.243,1133.701,755.881,6.94,354.751,0.355,0.124,2.844,18.951,37.259,31.973,8.849
105,1,2.912,2,-215.966,8.253,4.598,3.246,2,-197.981,3.783,4.085,5.296,2,-206.687,4.038,2.976,6.702,2,-220.842,2.837,2.899,5.81,2,-216.288,3.112,2.962,3.371,nan,nan,nan,nan,-22.826,0.007,-12.102,0.004,5.845,0.001,-17.843,0.005,-10.855,0.004,26.063,1.68,817.3,543.176,8.517,476.417,0.476,10.654,11.874,19.374,24.515,21.252,12.332
110,1,1.546,2,-270.561,5.579,4.294,1.745,2,-199.017,6.113,3.866,2.866,2,-198.939,2.089,2.948,3.928,2,-224.326,2.065,2.879,3.455,2,-216.437,2.203,2.95,1.924,nan,nan,nan,nan,-21.749,0.011,-21.844,0.002,10.171,0.001,-31.693,0.003,0.098,5.15E-05,26.136,1.728,1014.068,673.477,6.995,459.52,0.46,9.998,11.287,18.534,25.398,22.342,12.441
90,1,11.383,3,-185.051,3.747,6.017,18.612,3,-187.784,10.521,5.465,55.552,3,-231.791,3.83,5.071,74.733,3,-217.197,2.032,3.513,64.861,3,-207.133,2.596,3.557,20.132,3,-186.784,5.465,5.465,-23.823,0.039,32.099,0.007,12.856,0.002,18.998,0.003,-54.182,0.092,26.106,2931.268,nan,nan,nan,nan,nan,4.641,7.588,22.649,30.469,26.444,8.208
95,1,31.066,3,-190.843,4.428,6.143,57.825,3,-186.859,6.7,5.548,191.059,3,-234.495,4.203,6.426,244.653,3,-210.13,5.042,3.548,224.835,3,-199.589,3.331,3.581,76.36,3,-185.869,5.548,5.548,-15.656,0.012,45.599,0.014,13.346,0.006,31.829,0.014,-58.583,0.047,26.178,4227.978,nan,nan,nan,nan,nan,3.762,7.002,23.136,29.626,27.226,9.247
120,1,8.994,3,-215.909,3.547,4.827,12.436,3,-210.195,3.908,6.582,27.348,3,-241.104,2.152,3.518,39.789,3,-226.103,2.058,3.483,38.358,3,-212.263,2.032,3.507,18.747,3,-208.935,6.582,6.582,-2.619,0.001,38.003,0.003,17.884,0.002,19.766,0.002,-39.135,0.008,26.346,3828.505,nan,nan,nan,nan,nan,6.174,8.537,18.774,27.314,26.332,12.869
125,1,40.269,3,-182.736,4.419,5.615,70.149,3,-200.387,5.305,5.179,206.452,3,-217.265,4.347,5.446,297.069,3,-213.9,2.141,3.514,229.054,3,-205.768,2.205,3.565,77.346,3,-199.241,5.179,5.179,-6.73,0.003,14.688,0.004,10.344,0.001,4.3,0.001,-21.109,0.012,26.084,3118.126,nan,nan,nan,nan,nan,4.375,7.622,22.432,32.278,24.888,8.404
135,1,6.332,2,-172.728,6.396,4.989,6.332,2,-199.788,3.767,4.374,8.578,2,-193.942,4.069,4.174,19.421,2,-206.366,2.051,2.901,27.356,2,-207.573,2.197,2.928,24.204,2,-198.649,4.374,4.374,-9.729,0.002,-16.91,0.005,-1.521,0,-15.413,0.004,7.305,0.003,27.27,5345.812,nan,nan,nan,nan,nan,6.866,6.866,9.302,21.059,29.663,26.245
140,1,5.634,1,-147.917,nan,3.916,6.882,1,-170.983,nan,3.789,13.241,2,-197.996,7.486,4.877,16.952,nan,nan,nan,nan,16.12,nan,nan,nan,nan,8.021,1,-170.178,3.789,3.789,nan,nan,246.877,nan,nan,nan,246.877,nan,-32.584,nan,26.168,1934.517,nan,nan,nan,nan,nan,8.428,10.295,19.806,25.358,24.113,11.999
