publication,doi,region,site_name,sample_id,sample_year,plant_name,genus,species,growth_form,habitat,lat,lon,elevation,cat,n_samples,conc_ugg_plant,c20_fconc,c21_fconc,c22_fconc,c23_fconc,c24_fconc,c25_fconc,c26_fconc,c27_fconc,c28_fconc,c29_fconc,c30_fconc,c31_fconc,c32_fconc,c20_fd2h,c20_fd2h_unc,c22_fd2h,c22_fd2h_unc,c24_fd2h,c24_fd2h_unc,c26_fd2h,c26_fd2h_unc,c28_fd2h,c28_fd2h_unc,c30_fd2h,c30_fd2h_unc,c32_fd2h,c32_fd2h_unc,c20_fd13c,c20_fd13c_unc,c22_fd13c,c22_fd13c_unc,c24_fd13c,c24_fd13c_unc,c26_fd13c,c26_fd13c_unc,c28_fd13c,c28_fd13c_unc,c30_fd13c,c30_fd13c_unc,c32_fd13c,c32_fd13c_unc,c21_aconc,c22_aconc,c23_aconc,c24_aconc,c25_aconc,c26_aconc,c27_aconc,c28_aconc,c29_aconc,c30_aconc,c31_aconc,c32_aconc,c33_aconc,c21_ad2h,c21_ad2h_unc,c23_ad2h,c23_ad2h_unc,c25_ad2h,c25_ad2h_unc,c27_ad2h,c27_ad2h_unc,c29_ad2h,c29_ad2h_unc,c31_ad2h,c31_ad2h_unc,c33_ad2h,c33_ad2h_unc,c21_ad13c,c21_ad13c_unc,c23_ad13c,c23_ad13c_unc,c25_ad13c,c25_ad13c_unc,c27_ad13c,c27_a13c_unc,c29_ad13c,c29_ad13c_unc,c31_ad13c,c31_ad13c_unc,c33_ad13c,c33_ad13c_unc
Balascio_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.03.008,northern Norway,Hollabattjonnen,Balascio_8,2013,Betula pubescens,Betula,pubescens,tree,terrestrial,69.74,19.13,25,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.95,nan,25.35,nan,27.64,nan,43.12,nan,2.39,nan,0.54,nan,0,nan,nan,nan,nan,-169,4,-161,4,-142,4,-142,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wilkie_et_al_2013,https://doi.org/10.5194/cp-9-335-2013,Far East Russia,Elgygytgyn,Wilkie_6,2003,Bryophyta,Unidentified_bryophyta,Unidentified_bryophyta,moss,terrestrial,67.5,172.1,492,6,1,0,3.2,nan,6.1,nan,nan,nan,nan,nan,71.2,nan,3.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-259,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,AFR,KVH238,2019,Bryum cryophyllum,Bryum,cryophyllum,moss,terrestrial,72.42,-77.44,895,6,1,1,285.42,2.24,808.98,34.17,1368.94,24.99,240.05,0,108.2,0,44.9,45.73,66.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.92,19.89,43.56,19.18,35.14,29.35,36.5,14.99,31.38,10.02,33.84,8.41,16.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR4 CALA,2014,Calamagrostis lapponica,Calamagrostis,lapponica,graminoid,terrestrial,67.02,-50.7,50,5,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.4,2.49,1.87,4.12,1.56,5.36,1.16,10.58,0.6,6.19,0.39,2.48,nan,nan,nan,nan,nan,nan,-249.39,2.31,-251.81,0.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR6 CALA,2014,Calamagrostis lapponica,Calamagrostis,lapponica,graminoid,terrestrial,67.02,-50.7,50,5,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.38,0.79,5.81,2.2,19.44,2.18,83.55,1.3,22.23,0.54,4.63,0.35,1.49,nan,nan,nan,nan,-265.75,0.35,-288.72,0.34,-273.25,0.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-081,2019,Calliergon sarmentosum,Calliergon,sarmentosum,moss,terrestrial,58.1,-68.46,61,6,1,1,8.96,13.78,18.36,1.95,19.88,1.7,17.14,0.86,20.72,0.25,9.8,0,2.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.33,0.6,6.84,2.01,100.81,5.1,227.6,3.09,151.99,0.37,29.5,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dion-Kirschner_et_al_2020,https://doi.org/10.1016/j.gca.2020.07.027,western Greenland,LSL,40N,2015,Campanula rotundifolia,Campanula,rotundifolia,forb,terrestrial,67.03,-50.31,124,3,1,1,11.7,0.33,10.44,2.93,14.31,2.73,7.5,5.28,8.43,nan,nan,nan,nan,nan,nan,-197.72,5.22,-210.23,5.39,-207.59,5.4,-203.89,4.93,nan,nan,nan,nan,nan,nan,-37.01,0.39,-36.85,0.32,-37.16,0.24,-37.62,0.29,nan,nan,nan,nan,1.18,4.94,3.34,4.4,14.17,3.62,25.86,5.15,128.29,4.72,39.99,nan,nan,nan,nan,nan,nan,nan,nan,-217.27,4.77,-249.01,4.76,-242.79,4.87,nan,nan,nan,nan,-34.07,0.46,-35.39,0.14,-34.94,0.16,-34.46,0.15,-34.82,0.14,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-054,2019,Carex bigelowii,Carex,bigelowii,graminoid,terrestrial,70.56,-68.95,195,5,1,1,44.55,8.9,41.38,10.13,19.77,6.28,8.76,6.42,19.49,4.35,4.9,4.08,4.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.6,2.7,29.09,2.73,29,5.84,53.36,2.24,3.77,2.7,2.11,1.6,1.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dion-Kirschner_et_al_2020,https://doi.org/10.1016/j.gca.2020.07.027,western Greenland,LSL,0S,2015,Carex fuliginosa,Carex,fuliginosa,graminoid,terrestrial,67.03,-50.31,124,5,1,1,5.69,0.86,6.23,1.61,14.13,0.1,6.84,15.73,5.38,nan,nan,nan,nan,nan,nan,nan,nan,-155.41,4.95,-167.86,6.46,-192.5,5.24,nan,nan,nan,nan,nan,nan,-29.71,0.49,-35.14,0.26,-35.45,0.27,-36.45,0.25,nan,nan,nan,nan,6.14,6.88,16.1,4.94,11.08,3.29,23.3,2.58,27.62,1.36,1.18,nan,nan,nan,nan,-200.29,4.88,-200.17,4.81,-205.99,5.98,-205.65,5.23,nan,nan,nan,nan,-34.86,0.35,-30.12,0.31,-31.53,0.16,-32.47,0.3,-34.06,0.29,-35.77,0.39,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-067,2019,Carex lenticularis,Carex,lenticularis,graminoid,terrestrial,58.1,-68.46,61,5,1,1,23.22,8.03,26.01,8.87,28.1,8.31,31.58,11.38,141.54,6.78,26.01,4.41,6.36,nan,nan,-248.79,3.89,-247.56,3.6,-266.52,6,-293.03,3.67,nan,nan,nan,nan,nan,nan,-34.22,0.26,-34.66,0.19,-33.43,0.17,-32.25,0.2,nan,nan,nan,nan,16.36,4.41,37.74,5.18,18.63,6.34,101.97,5.72,27.53,5.8,5.46,3.91,3.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH209,2019,Carex membranacea,Carex,membranacea,graminoid,terrestrial,63.68,-68.2,33,5,1,1,170.91,21.5,91.1,21.87,38.76,12.76,24.78,8.16,15.46,7.15,9.6,6.59,7.25,nan,nan,-240.6,2.61,-217.28,3.09,-214.18,3.83,nan,nan,nan,nan,nan,nan,nan,nan,-36,0.12,-36.51,0.13,-36.29,0.24,-35.99,0.53,nan,nan,nan,nan,6.29,4.16,8.9,4.34,18.75,4.54,24.6,4.4,43.14,3.56,10.43,0,3.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH250,2019,Carex rariflora,Carex,rariflora ,graminoid,terrestrial,63.68,-68.2,33,5,1,1,61.56,15.87,115.46,17.91,59.88,12.81,30.44,12.7,47.18,7.15,10.39,6.22,7.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.24,0.94,17.96,4.36,19.21,8.77,56.38,0.4,5.84,0.79,0.07,1.42,2.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-068,2019,Carex rariflora,Carex,rariflora ,graminoid,terrestrial,58.1,-68.46,61,5,1,1,16.62,4.92,24.75,7.45,28.25,4.5,14.75,3.41,18.73,2.09,3.29,1.79,2.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.49,1.64,4.36,1.7,2.9,2,9.21,1.54,3.1,2.43,1.97,1.27,1.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dion-Kirschner_et_al_2020,https://doi.org/10.1016/j.gca.2020.07.027,western Greenland,LSL,10W,2015,Carex rostrata,Carex,rostrata,graminoid,terrestrial,67.03,-50.31,124,5,1,1,21.22,nan,35.46,8.55,33.65,0.06,26.47,14.15,5.91,nan,nan,nan,nan,nan,nan,-245.61,6.55,-255.21,4.93,-237.35,5.14,-239.02,5.24,nan,nan,nan,nan,-29.83,0.29,-33.7,0.38,-33.53,0.27,-33.49,0.39,-33.53,0.34,nan,nan,nan,nan,2.27,5.46,7.12,5.46,18.14,3.51,14.79,2.27,34.4,2.42,29.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-238.55,5.32,-232.11,5.23,nan,nan,nan,nan,-34.94,0.38,-34.75,0.17,-34.14,0.36,-33.58,0.25,-33.77,0.25,nan,nan
Dion-Kirschner_et_al_2020,https://doi.org/10.1016/j.gca.2020.07.027,western Greenland,LSL,40S,2015,Carex scirpoidea,Carex,scripoidea,graminoid,terrestrial,67.03,-50.31,124,5,1,1,15.61,1.1,20.43,5.71,18.78,3.68,12.19,15.09,8.29,nan,nan,nan,nan,nan,nan,nan,nan,-256.83,5.15,-239.13,4.91,-254.49,5.25,nan,nan,nan,nan,-29.29,0.64,-33.45,0.33,-33.25,0.25,-33.57,0.29,-33.5,0.25,nan,nan,nan,nan,1.84,5.94,7.45,6.31,18.42,5.84,36.49,5.15,102.18,4.53,55.46,nan,nan,nan,nan,nan,nan,-244.08,4.77,-245.87,4.79,-269.9,4.82,-274.74,4.8,nan,nan,nan,nan,-32.81,0.2,-33.17,0.33,-33.52,0.13,-34,0.16,-33.64,0.14,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH251,2019,Carex stans,Carex,stans,graminoid,terrestrial,63.68,-68.2,33,5,1,1,91.79,17.1,74.58,18.07,44.73,14.07,29.57,13.48,54.64,8.63,12.5,7.44,8.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.16,0.56,26.47,2.24,39.8,6.64,113.28,0.74,33.74,1.52,21.43,1.76,0.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-069,2019,Carex stans,Carex,stans,graminoid,terrestrial,58.1,-68.46,61,5,1,1,23.14,4.62,16.71,6.09,15.31,5.63,8.42,5.24,31.43,2.99,5.01,2.37,2.61,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.62,2.69,12.44,3.48,11.48,5.82,121.74,4.03,7.88,4.36,3.31,2.41,2.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dion-Kirschner_et_al_2020,https://doi.org/10.1016/j.gca.2020.07.027,western Greenland,LSL,0W,2015,Carex stylosa,Carex,stylosa,graminoid,terrestrial,67.03,-50.31,124,5,1,1,17.52,1.18,54.39,5.04,73.09,3.47,45.31,3.49,0.3,nan,nan,nan,nan,nan,nan,nan,nan,-215.41,5.05,-212.33,4.93,-208.17,5.51,nan,nan,nan,nan,nan,nan,-30.2,0.39,-29.43,0.25,-28.4,0.38,-30.25,0.24,nan,nan,nan,nan,1.57,3.25,4.2,3.22,10.36,2.53,24.38,3.21,120.46,5.53,108.68,nan,nan,nan,nan,nan,nan,-216.89,nan,-216.89,6.24,-244.18,5.03,-237.7,4.8,nan,nan,nan,nan,-33.81,0.14,-34.61,0.18,-35.41,0.17,-35.34,0.13,-35.49,0.14,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH201,2019,Cassiope tetragona,Cassiope,tetragona,shrub,terrestrial,63.68,-68.2,33,2,1,1,29.72,9.23,30.53,10.16,103.13,11.35,30.8,5.01,21.52,5.61,18.39,3.68,5.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.29,10.86,156.03,12.15,39.21,4.61,16.56,5.89,40.06,5.41,19.69,4.28,8.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH252,2019,Cassiope tetragona,Cassiope,tetragona,shrub,terrestrial,63.68,-68.2,33,2,1,1,21.44,8.9,28.83,10.74,80.15,10.1,28.78,5.73,21.58,5.88,17.55,4.45,5.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,148.94,20.78,1075.68,45.01,259.93,9.29,75.05,12.73,299.06,11.31,103.44,5.7,12.81,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-050,2019,Cassiope tetragona,Cassiope,tetragona,shrub,terrestrial,70.56,-68.95,195,2,1,1,259.3,82.05,298.35,106.08,1144.04,128.62,289.34,58.02,206.73,64.03,196.21,47.5,62.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,740.26,67.19,1155.09,70.66,236.55,26.15,93.89,31.94,358.69,36.42,184.3,22.33,90.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-088,2019,Cassiope tetragona,Cassiope,tetragona,shrub,terrestrial,70.56,-68.95,195,2,1,1,259.41,66.86,304.24,79.08,1055.08,83.16,254.31,40.37,162.62,44.44,138.17,32.22,40.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.7,624.1,74.77,2368.8,87.15,470.85,4.1,147.45,12.9,581.19,15.07,251.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-089,2019,Cassiope tetragona,Cassiope,tetragona,shrub,terrestrial,70.56,-68.95,195,2,1,1,281.84,83.8,346.77,93.54,1130.81,108.15,288.33,57.83,177.95,59.45,150.35,49.71,62.7,nan,nan,-226.57,3.38,-228.77,3.4,-209.6,5.01,-195.58,5.03,nan,nan,nan,nan,nan,nan,-30.23,0.17,-30.1,0.17,-31.16,0.21,-32.67,0.2,nan,nan,nan,nan,0,7.84,1152.32,144.93,3379.9,147.21,579.05,5.58,180.18,11.26,607.57,16.81,320.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Thomas_et_al_2016,https://doi.org/10.1002/2016GL068513,western Greenland,N3,N3p_1,2010,Cassiope tetragona,Cassiope,tetragona,shrub,terrestrial,68.636,-50.981,59,2,1,1,33,13.1,68.2,21.2,287.7,19.2,115,5,65.8,4.7,45.9,1,4.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24,nan,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,AFR,KVH239,2019,Cephaloziella sp. 1,Cephaloziella,sp. 1,liverwort,terrestrial,72.42,-77.44,895,7,1,1,52.92,2.58,26.86,3.62,26.29,2.32,6.82,1.15,2.56,0.72,1.16,0.54,0.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.07,16.58,30.04,14.6,21.76,12.95,25.96,11.89,20.94,7.56,16.17,6.58,9.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,AFR,KVH246,2019,Cephaloziella sp. 2,Cephaloziella,sp. 2,liverwort,terrestrial,72.42,-77.44,895,7,1,1,15.19,1.79,17.71,3.37,14.62,1.99,4.61,0.81,1.54,0.56,0.97,0.25,0.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.41,38.48,55.42,30.57,41.42,24.92,37.5,25.44,36.23,14.74,31.27,13.4,21.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dion-Kirschner_et_al_2020,https://doi.org/10.1016/j.gca.2020.07.027,western Greenland,LSL,30E,2015,Cerastium alpinum,Cerastium,alpinum,forb,terrestrial,67.03,-50.31,124,3,1,1,11.85,0.42,23.96,5.7,32.83,0.44,23.74,25.1,8.75,nan,nan,nan,nan,nan,nan,nan,nan,-236.16,4.92,-222.89,5.95,-227.62,4.91,nan,nan,nan,nan,nan,nan,-33.87,0.58,-34.69,0.24,-35.34,0.32,-35.49,0.4,nan,nan,nan,nan,0.81,3.63,7.02,3.97,10.04,3.43,28.4,3.42,101.02,3.91,54.32,nan,nan,nan,nan,nan,nan,-216.67,6.13,-232.47,5.75,-245.88,4.85,-237.37,5.05,nan,nan,nan,nan,-31.94,0.17,-33.92,0.14,-34.95,0.22,-35.32,0.13,-35.65,0.13,nan,nan
Thomas_et_al_2016,https://doi.org/10.1002/2016GL068513,western Greenland,N3,N3p_4,2010,Chaemenerian latifolium,Chaemenerion,latifolium,forb,terrestrial,68.636,-50.981,59,3,1,1,45.6,2.6,40.6,10.7,127,22.9,398.6,0,171,0,26.3,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11,nan,222,nan,880,nan,394,nan,336,nan,50,nan,nan,nan,nan,-217.2395,20.1985052045937,-240.6035,0.787009847460627,-235.5475,0.511238202797863,-237.2415,1.02176929881456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Balascio_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.03.008,northern Norway,Hollabattjonnen,Balascio_10,2013,Chamaeperielymnum suecicum,Chamaeperielymnum,suecicum,shrub,terrestrial,69.74,19.13,25,2,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.6,nan,0.98,nan,10.51,nan,30.1,nan,8.12,nan,2.2,nan,5.48,nan,nan,nan,nan,-169,5,-181,4,-197,3,-194,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Sagwon,S10_CHAN,2016,Chamerion angustifolium,Chamerion,angustifolium,forb,terrestrial,69.42,-148.69,304,3,1,0,nan,nan,10,nan,20,nan,40,nan,30,nan,10,nan,0,nan,nan,-205,2,-231,1,-238,1,-237,1,-228,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40,nan,30,nan,20,nan,0,nan,0,nan,nan,nan,nan,-213,nan,-228,2,-262,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Yukon_River,S3_CHAN,2016,Chamerion angustifolium,Chamerion,angustifolium,forb,terrestrial,65.92,-149.83,166,3,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40,nan,50,nan,10,nan,0,nan,0,nan,nan,nan,nan,-224,1,-242,1,-245,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Finger_Mountain,S4_CHAN,2016,Chamerion angustifolium,Chamerion,angustifolium,forb,terrestrial,66.36,-150.46,642,3,1,0,nan,nan,10,nan,20,nan,20,nan,30,nan,20,nan,0,nan,nan,-208,3,-215,1,-214,0,-213,0,-203,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50,nan,30,nan,20,nan,0,nan,0,nan,nan,nan,nan,-198,nan,-209,1,-219,0,-195,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Happy_Valley,S9_CHAN,2016,Chamerion angustifolium,Chamerion,angustifolium,forb,terrestrial,69.24,-148.77,233,3,1,0,nan,nan,0,nan,10,nan,40,nan,40,nan,10,nan,0,nan,nan,nan,nan,-235,2,-252,0,-255,1,-243,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50,nan,30,nan,20,nan,0,nan,0,nan,nan,nan,nan,nan,nan,-261,1,-257,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dion-Kirschner_et_al_2020,https://doi.org/10.1016/j.gca.2020.07.027,western Greenland,LSL,0E,2015,Common horsetail,Equisetum,arvense,fern,terrestrial,67.03,-50.31,124,4,1,1,8.95,0.84,9.63,3.74,12.34,2.41,7.36,3.26,2.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-31.1,0.29,-35.66,0.39,-35.56,0.25,-35.36,0.24,-34.91,0.29,nan,nan,nan,nan,2.97,3.83,5.6,3.72,11.47,3.19,15.24,3.4,69.72,3.89,52.19,nan,nan,nan,nan,nan,nan,nan,nan,-211.57,4.86,-241.48,4.97,-235.92,4.87,nan,nan,-34.85,0.94,-34.82,0.38,-35.47,0.16,-34.91,0.26,-35.17,0.14,-35.38,0.14,nan,nan
