publication,doi,region,site_name,sample_id,sample_year,plant_name,genus,species,growth_form,habitat,lat,lon,elevation,cat,n_samples,conc_ugg_plant,c20_fconc,c21_fconc,c22_fconc,c23_fconc,c24_fconc,c25_fconc,c26_fconc,c27_fconc,c28_fconc,c29_fconc,c30_fconc,c31_fconc,c32_fconc,c20_fd2h,c20_fd2h_unc,c22_fd2h,c22_fd2h_unc,c24_fd2h,c24_fd2h_unc,c26_fd2h,c26_fd2h_unc,c28_fd2h,c28_fd2h_unc,c30_fd2h,c30_fd2h_unc,c32_fd2h,c32_fd2h_unc,c20_fd13c,c20_fd13c_unc,c22_fd13c,c22_fd13c_unc,c24_fd13c,c24_fd13c_unc,c26_fd13c,c26_fd13c_unc,c28_fd13c,c28_fd13c_unc,c30_fd13c,c30_fd13c_unc,c32_fd13c,c32_fd13c_unc,c21_aconc,c22_aconc,c23_aconc,c24_aconc,c25_aconc,c26_aconc,c27_aconc,c28_aconc,c29_aconc,c30_aconc,c31_aconc,c32_aconc,c33_aconc,c21_ad2h,c21_ad2h_unc,c23_ad2h,c23_ad2h_unc,c25_ad2h,c25_ad2h_unc,c27_ad2h,c27_ad2h_unc,c29_ad2h,c29_ad2h_unc,c31_ad2h,c31_ad2h_unc,c33_ad2h,c33_ad2h_unc,c21_ad13c,c21_ad13c_unc,c23_ad13c,c23_ad13c_unc,c25_ad13c,c25_ad13c_unc,c27_ad13c,c27_a13c_unc,c29_ad13c,c29_ad13c_unc,c31_ad13c,c31_ad13c_unc,c33_ad13c,c33_ad13c_unc
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-132,2021,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,58.1,-68.46,61,2,1,1,193.66,7.73,27.85,9.77,79.63,12.93,183.85,14.56,161.77,6.22,13.2,3.17,3.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.69,0.73,1.85,1.4,5.54,3.02,14.94,1.19,5.87,2.15,1.11,0.34,0.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Arctic_Circle,S5_VAUL,2016,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,66.56,-150.79,455,2,1,0,nan,nan,0,nan,40,nan,60,nan,0,nan,0,nan,0,nan,nan,-175,0,-172,1,-171,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40,nan,60,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,-170,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Happy_Valley,S9_VAUL,2016,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,69.24,-148.77,233,2,1,0,nan,nan,0,nan,20,nan,30,nan,60,nan,0,nan,0,nan,nan,nan,nan,-195,0,-199,0,-207,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,nan,30,nan,30,nan,0,nan,10,nan,nan,nan,nan,nan,nan,-215,1,-341,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH199,2019,Vaccinium vitis-idaea,Vaccinium,vitis-idaea,shrub,terrestrial,63.68,-68.2,33,2,1,1,52.22,9.54,61.25,12.18,104.24,15.17,50.08,11.02,64.26,18.49,146.32,11.07,41.55,nan,nan,-179.45,2.67,-185.93,2.6,-190,2.74,-197.4,2.72,nan,nan,nan,nan,nan,nan,-36.77,0.03,-35.89,0.08,-33.92,0.13,-33.99,0.17,nan,nan,nan,nan,3.25,2.87,5.15,4.68,10.05,8.26,31.25,11.95,262.87,9.03,134.39,4.1,9.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Brimstone,BRM_F1,2014,Vaccinium vitis-idaea,Vaccinium,vitis-idaea,shrub,terrestrial,63.74,-138.85,639,2,1,1,3.96,nan,9.76,1.47,45.98,3.05,25.82,3.18,35.03,10.32,141.86,nan,63.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Balascio_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.03.008,northern Norway,Hollabattjonnen,Balascio_5,2013,Vaccinium vitis-idaea,Vaccinium,vitis-idaea,shrub,terrestrial,69.74,19.13,25,2,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.52,nan,15.99,nan,33.88,nan,44.17,nan,3.35,nan,2.08,nan,0,nan,nan,nan,nan,-127,6,-128,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-071,2019,Vaccinium vitis-idaea,Vaccinium,vitis-idaea,shrub,terrestrial,58.1,-68.46,61,2,1,1,139.16,18.17,84.36,19.76,116.12,21.35,47.29,17.9,59.2,23.99,144.98,15.26,51.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.93,3.11,5.51,5.65,9.8,9.57,17.67,9.37,144,8.61,97.81,2.58,13.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-103,2021,Vaccinium vitis-idaea,Vaccinium,vitis-idaea,shrub,terrestrial,58.1,-68.46,61,2,1,1,138.55,9.08,87.57,9.45,101.76,10.71,33.19,8.95,38.46,11.59,100.38,5.18,36.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,4.04,12.09,31.25,46.63,55.8,46.49,382.39,13.66,217.01,23.72,7.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-133,2021,Vaccinium vitis-idaea,Vaccinium,vitis-idaea,shrub,terrestrial,58.1,-68.46,61,2,1,1,46.94,8.11,36.1,9.38,54.91,9.98,22.82,9.97,34.66,16.04,127.44,12.87,59.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.02,0.65,2.18,3.02,7.9,12.06,22.52,12.04,177.1,9.14,111.77,2.3,24.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Yukon_River,S3_VAVI,2016,Vaccinium vitis-idaea,Vaccinium,vitis-idaea,shrub,terrestrial,65.92,-149.83,166,2,1,0,nan,nan,0,nan,0,nan,0,nan,0,nan,60,nan,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-243,1,-230,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,10,nan,50,nan,40,nan,0,nan,nan,nan,nan,nan,nan,-215,2,-253,1,-240,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
